step	train/mean_absolute_percentage_error
0	94.96154022216797
1	49.15833282470703
2	7.253841876983643
3	5.866462230682373
4	5.676285266876221
5	5.531630516052246
6	5.4352569580078125
7	5.363563537597656
8	5.307281017303467
9	5.261062145233154
10	5.222074031829834
11	5.188726902008057
12	5.15971040725708
13	5.133882999420166
14	5.110538005828857
15	5.089454174041748
16	5.070463180541992
17	5.052903175354004
18	5.03662633895874
19	5.021456241607666
20	5.007203578948975
21	4.993722438812256
22	4.980844497680664
23	4.968494892120361
24	4.9566121101379395
25	4.945169925689697
26	4.934101104736328
27	4.923334121704102
28	4.912848472595215
29	4.9026031494140625
30	4.892536640167236
31	4.882620334625244
32	4.872770309448242
33	4.86298942565918
34	4.8534111976623535
35	4.84381628036499
36	4.834136009216309
37	4.824302673339844
38	4.814271926879883
39	4.804028511047363
40	4.793582439422607
41	4.782949447631836
42	4.771984577178955
43	4.760655403137207
44	4.748863697052002
45	4.736568450927734
46	4.723886966705322
47	4.710424900054932
48	4.695986747741699
49	4.680335998535156
50	4.663498878479004
51	4.645516872406006
52	4.626485347747803
53	4.606323719024658
54	4.585200786590576
55	4.564097881317139
56	4.542914390563965
57	4.521572589874268
58	4.500227928161621
59	4.478510856628418
60	4.456247806549072
61	4.434029579162598
62	4.411662578582764
63	4.389366149902344
64	4.3669753074646
65	4.344785690307617
66	4.323444843292236
67	4.302204608917236
68	4.280822277069092
69	4.259450912475586
70	4.237678050994873
71	4.215360641479492
72	4.193016529083252
73	4.170902252197266
74	4.148839950561523
75	4.126895427703857
76	4.105237007141113
77	4.0836639404296875
78	4.062828063964844
79	4.042373180389404
80	4.022617340087891
81	4.003381729125977
82	3.9848220348358154
83	3.9668805599212646
84	3.9493017196655273
85	3.932542324066162
86	3.916325569152832
87	3.9000415802001953
88	3.883676528930664
89	3.867656946182251
90	3.8515992164611816
91	3.8358473777770996
92	3.820876359939575
93	3.8066580295562744
94	3.7933709621429443
95	3.780993938446045
96	3.769315481185913
97	3.7577712535858154
98	3.745407819747925
99	3.732342481613159
100	3.7203989028930664
