id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;NORTE;2018-01-01;4828.0725
NE;NORDESTE;2018-01-01;9237.88683333
S;SUL;2018-01-01;8350.80920833
SE;SUDESTE;2018-01-01;30268.424125
N;NORTE;2018-01-02;5430.981
NE;NORDESTE;2018-01-02;10783.59258333
S;SUL;2018-01-02;10178.03254167
SE;SUDESTE;2018-01-02;36875.34020833
N;NORTE;2018-01-03;5457.93883333
NE;NORDESTE;2018-01-03;11157.16245833
S;SUL;2018-01-03;11138.50520833
SE;SUDESTE;2018-01-03;38552.692625
N;NORTE;2018-01-04;5406.32604167
NE;NORDESTE;2018-01-04;11154.239625
S;SUL;2018-01-04;11696.33566667
SE;SUDESTE;2018-01-04;37938.60470833
N;NORTE;2018-01-05;5449.58275
NE;NORDESTE;2018-01-05;10969.048625
S;SUL;2018-01-05;12369.50083333
SE;SUDESTE;2018-01-05;37663.77966667
N;NORTE;2018-01-06;5256.29991667
NE;NORDESTE;2018-01-06;10324.65745833
S;SUL;2018-01-06;11012.35345833
SE;SUDESTE;2018-01-06;35334.61375
N;NORTE;2018-01-07;4889.7815
NE;NORDESTE;2018-01-07;9502.00866667
S;SUL;2018-01-07;9312.76683333
SE;SUDESTE;2018-01-07;31739.197375
N;NORTE;2018-01-08;5272.735375
NE;NORDESTE;2018-01-08;10700.57083333
S;SUL;2018-01-08;11720.490875
SE;SUDESTE;2018-01-08;36659.33908333
N;NORTE;2018-01-09;5275.13083333
NE;NORDESTE;2018-01-09;10883.665375
S;SUL;2018-01-09;12113.092
SE;SUDESTE;2018-01-09;37909.52091667
N;NORTE;2018-01-10;5178.35179167
NE;NORDESTE;2018-01-10;10700.46875
S;SUL;2018-01-10;12334.14575
SE;SUDESTE;2018-01-10;39347.42266667
N;NORTE;2018-01-11;5208.99620833
NE;NORDESTE;2018-01-11;10703.8815
S;SUL;2018-01-11;12497.33883333
SE;SUDESTE;2018-01-11;40040.32516667
N;NORTE;2018-01-12;5312.076
NE;NORDESTE;2018-01-12;10853.041875
S;SUL;2018-01-12;12617.27745833
SE;SUDESTE;2018-01-12;39569.3025
N;NORTE;2018-01-13;4967.990125
NE;NORDESTE;2018-01-13;10348.10133333
S;SUL;2018-01-13;11065.13904167
SE;SUDESTE;2018-01-13;36581.08004167
