id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;NORTE;2001-01-01;2376.73125
NE;NORDESTE;2001-01-01;5035.81666667
S;SUL;2001-01-01;4925.37375
SE;SUDESTE;2001-01-01;19729.23333333
N;NORTE;2001-01-02;2537.38333333
NE;NORDESTE;2001-01-02;5946.3875
S;SUL;2001-01-02;6779.6875
SE;SUDESTE;2001-01-02;24596.19541667
N;NORTE;2001-01-03;2540.34583333
NE;NORDESTE;2001-01-03;6188.10416667
S;SUL;2001-01-03;7371.00416667
SE;SUDESTE;2001-01-03;26063.22166667
N;NORTE;2001-01-04;2534.11666667
NE;NORDESTE;2001-01-04;6232.39583333
S;SUL;2001-01-04;7543.17083333
SE;SUDESTE;2001-01-04;26320.12166667
N;NORTE;2001-01-05;2575.575
NE;NORDESTE;2001-01-05;6202.51666667
S;SUL;2001-01-05;7732.31666667
SE;SUDESTE;2001-01-05;26860.91208333
N;NORTE;2001-01-06;2495.195
NE;NORDESTE;2001-01-06;5922.58333333
S;SUL;2001-01-06;6834.92083333
SE;SUDESTE;2001-01-06;25047.63041667
N;NORTE;2001-01-07;2410.72916667
NE;NORDESTE;2001-01-07;5402.67083333
S;SUL;2001-01-07;5801.07083333
SE;SUDESTE;2001-01-07;22943.49166667
N;NORTE;2001-01-08;2578.53333333
NE;NORDESTE;2001-01-08;6128.23333333
S;SUL;2001-01-08;7442.925
SE;SUDESTE;2001-01-08;27456.62791667
N;NORTE;2001-01-09;2559.38625
NE;NORDESTE;2001-01-09;6332.05
S;SUL;2001-01-09;7794.75833333
SE;SUDESTE;2001-01-09;27902.75583333
N;NORTE;2001-01-10;2543.22666667
NE;NORDESTE;2001-01-10;6361.70833333
S;SUL;2001-01-10;7848.09166667
SE;SUDESTE;2001-01-10;27940.01291667
N;NORTE;2001-01-11;2536.83583333
NE;NORDESTE;2001-01-11;6329.19166667
S;SUL;2001-01-11;7488.25416667
SE;SUDESTE;2001-01-11;28169.65041667
N;NORTE;2001-01-12;2525.36083333
NE;NORDESTE;2001-01-12;6255.84166667
S;SUL;2001-01-12;7205.54583333
SE;SUDESTE;2001-01-12;28334.0225
N;NORTE;2001-01-13;2487.1375
NE;NORDESTE;2001-01-13;5817.14166667
S;SUL;2001-01-13;6514.95416667
SE;SUDESTE;2001-01-13;25423.83041667
N;NORTE;2001-01-14;2405.55833333
NE;NORDESTE;2001-01-14;5352.11666667
S;SUL;2001-01-14;5603.39166667
SE;SUDESTE;2001-01-14;22552.86416667
N;NORTE;2001-01-15;2569.4875
NE;NORDESTE;2001-01-15;6116.16666667
S;SUL;2001-01-15;7376.37083333
SE;SUDESTE;2001-01-15;27258.59041667
N;NORTE;2001-01-16;2576.73333333
NE;NORDESTE;2001-01-16;6253.20416667
S;SUL;2001-01-16;7740.48333333
SE;SUDESTE;2001-01-16;28137.02458333
N;NORTE;2001-01-17;2570.33333333
NE;NORDESTE;2001-01-17;6263.1
S;SUL;2001-01-17;7885.20833333
SE;SUDESTE;2001-01-17;28435.99083333
N;NORTE;2001-01-18;2596.70833333
NE;NORDESTE;2001-01-18;6355.2375
S;SUL;2001-01-18;7957.59166667
SE;SUDESTE;2001-01-18;28744.32
N;NORTE;2001-01-19;2599.90416667
NE;NORDESTE;2001-01-19;6411.1625
S;SUL;2001-01-19;7964.36666667
SE;SUDESTE;2001-01-19;28718.10291667
N;NORTE;2001-01-20;2501.74166667
NE;NORDESTE;2001-01-20;6085.10833333
S;SUL;2001-01-20;6749.15416667
SE;SUDESTE;2001-01-20;25861.29625
N;NORTE;2001-01-21;2391.79166667
NE;NORDESTE;2001-01-21;5491.42083333
S;SUL;2001-01-21;5636.84166667
SE;SUDESTE;2001-01-21;23108.01708333
N;NORTE;2001-01-22;2533.45833333
NE;NORDESTE;2001-01-22;6262.6625
S;SUL;2001-01-22;7490.05
SE;SUDESTE;2001-01-22;27496.48166667
N;NORTE;2001-01-23;2569.76666667
NE;NORDESTE;2001-01-23;6386.35
S;SUL;2001-01-23;7826.77916667
SE;SUDESTE;2001-01-23;28275.84875
N;NORTE;2001-01-24;2552.7875
NE;NORDESTE;2001-01-24;6351.42083333
S;SUL;2001-01-24;7925.72916667
SE;SUDESTE;2001-01-24;28354.11875
N;NORTE;2001-01-25;2557.34166667
NE;NORDESTE;2001-01-25;6374.57916667
S;SUL;2001-01-25;7973.525
SE;SUDESTE;2001-01-25;27640.47333333
