id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2013-01-25 00:00:00;37413.31808333
N;NORTE;2013-01-26 00:00:00;4007.88541667
NE;NORDESTE;2013-01-26 00:00:00;9061.96025
S;SUL;2013-01-26 00:00:00;9978.84925
SE;SUDESTE;2013-01-26 00:00:00;34322.399
N;NORTE;2013-01-27 00:00:00;3847.11625
NE;NORDESTE;2013-01-27 00:00:00;8345.66125
S;SUL;2013-01-27 00:00:00;8479.56479167
SE;SUDESTE;2013-01-27 00:00:00;29494.05745833
N;NORTE;2013-01-28 00:00:00;4157.65916667
NE;NORDESTE;2013-01-28 00:00:00;9457.35845833
S;SUL;2013-01-28 00:00:00;11405.72591667
SE;SUDESTE;2013-01-28 00:00:00;34930.69604167
N;NORTE;2013-01-29 00:00:00;4154.00375
NE;NORDESTE;2013-01-29 00:00:00;9636.05720833
S;SUL;2013-01-29 00:00:00;12089.329625
SE;SUDESTE;2013-01-29 00:00:00;35555.11508333
N;NORTE;2013-01-30 00:00:00;4168.72291667
NE;NORDESTE;2013-01-30 00:00:00;9713.2435
S;SUL;2013-01-30 00:00:00;12234.30425
SE;SUDESTE;2013-01-30 00:00:00;35810.04016667
N;NORTE;2013-01-31 00:00:00;4188.65333333
NE;NORDESTE;2013-01-31 00:00:00;9694.9925
S;SUL;2013-01-31 00:00:00;12623.26154167
SE;SUDESTE;2013-01-31 00:00:00;36517.17516667
N;NORTE;2013-02-01 00:00:00;4168.37541667
NE;NORDESTE;2013-02-01 00:00:00;9670.1955
S;SUL;2013-02-01 00:00:00;12903.98870833
SE;SUDESTE;2013-02-01 00:00:00;37032.80254167
N;NORTE;2013-02-02 00:00:00;4040.475
NE;NORDESTE;2013-02-02 00:00:00;9197.529875
S;SUL;2013-02-02 00:00:00;10941.04154167
SE;SUDESTE;2013-02-02 00:00:00;34397.934625
S;SUL;2013-02-02 00:00:01;
N;NORTE;2013-02-03 00:00:00;3840.46041667
NE;NORDESTE;2013-02-03 00:00:00;8491.88
S;SUL;2013-02-03 00:00:00;8845.91791667
SE;SUDESTE;2013-02-03 00:00:00;30811.94829167
N;NORTE;2013-02-04 00:00:00;4145.54291667
NE;NORDESTE;2013-02-04 00:00:00;9603.7265
S;SUL;2013-02-04 00:00:00;10929.98270833
SE;SUDESTE;2013-02-04 00:00:00;36235.277625
N;NORTE;2013-02-05 00:00:00;4122.35583333
NE;NORDESTE;2013-02-05 00:00:00;9863.70108333
S;SUL;2013-02-05 00:00:00;11516.731
SE;SUDESTE;2013-02-05 00:00:00;36382.07945833
N;NORTE;2013-02-06 00:00:00;4131.61291667
